,localidade,rede,ideb_2015,ideb_2017,ideb_2019,ideb_2021,ideb_2023,meta_2015,meta_2017,meta_2019,meta_2021,anos,cod,6_ao_9_ano,1_ao_5_ano,ensino_médio
3493,Santa Bárbara d'Oeste,Pública,5.2,5.3,5.6,5.7,5.5,"5,7","5,9","6,2","6,4",6º ao 9º ano,3545803.0,True,False,False
3497,Santa Branca,Municipal,5.9,6.7,6.3,5.6,5.4,"5,5","5,8","6,1","6,3",1º ao 5º ano,3546009.0,False,True,False
3498,Santa Branca,Pública,5.9,6.7,6.3,5.6,5.4,"5,5","5,8","6,1","6,3",1º ao 5º ano,3546009.0,False,True,False
3505,Santa Clara d'Oeste,Estadual,5.1,5.1,5.4,5.3,5.5,"5,9","6,2","6,4","6,6",6º ao 9º ano,3546108.0,True,False,False
3506,Santa Clara d'Oeste,Pública,5.1,5.1,5.4,5.3,5.5,"5,9","6,2","6,4","6,6",6º ao 9º ano,3546108.0,True,False,False
3509,Santa Cruz da Conceição,Estadual,5.3,5.2,5.4,5.8,5.5,"5,2","5,4","5,7","5,9",6º ao 9º ano,3546207.0,True,False,False
3510,Santa Cruz da Conceição,Municipal,6.3,6.8,7.1,6.3,6.3,"6,1","6,3","6,6","6,8",1º ao 5º ano,3546207.0,False,True,False
3511,Santa Cruz da Conceição,Pública,6.3,6.8,7.1,6.3,6.3,"6,1","6,3","6,6","6,8",1º ao 5º ano,3546207.0,False,True,False
3512,Santa Cruz da Conceição,Pública,5.3,5.2,5.4,5.8,5.5,"5,2","5,4","5,7","5,9",6º ao 9º ano,3546207.0,True,False,False
3515,Santa Cruz da Esperança,Municipal,5.0,5.8,5.9,5.0,5.7,"5,4","5,7","5,9","6,1",6º ao 9º ano,3546256.0,True,False,False
